date;settlement_price;market_id;market_strip;last_trading_date;instrument_slug;instrument_name;source;series_type;roll_rule
2024-09-27;658.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-30;664.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-01;677.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-02;669.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-03;687.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-04;696.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-07;707.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-08;687.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-09;685.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-10;691.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-11;699.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-14;688.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-15;663.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-16;661.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-17;664.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-18;657.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-21;663.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-22;677.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-23;671.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-24;669.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-25;677.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-28;653.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-29;647.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-30;663.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-10-31;666.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-01;669.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-04;675.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-05;683.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-06;680.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-07;676.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-08;666.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-11;657.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-12;660.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-13;659.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-14;660.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-15;658.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-18;666.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-19;666.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-20;666.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-21;669.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-22;673.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-25;658.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-26;664.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-27;656.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-28;653.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-11-29;658.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-02;650.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-03;661.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-04;656.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-05;648.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-06;644.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-09;655.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-10;654.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-11;657.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-12;653.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-13;665.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-16;662.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-17;655.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-18;663.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-19;652.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-20;650.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-23;647.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-24;651.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-26;650.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-27;655.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-30;661.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-12-31;664.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2025-01-02;675.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2025-01-03;670.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
